[0926/172710:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/143305:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/152701:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/170645:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/170709:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173157:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175319:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175443:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180356:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/181150:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/181517:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/181632:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/181800:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/182132:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/182457:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/182704:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/182844:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/182954:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183110:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183314:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183349:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183449:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183533:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183628:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183813:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/184239:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/184426:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/184510:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/184609:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/184748:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/184847:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/185011:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/185114:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/095156:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/095406:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/103225:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/105844:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/110053:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/110332:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/110416:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/110933:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/111032:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/111126:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/111217:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/111316:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/111738:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/111923:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/113203:ERROR:file_io.cc(30)] read: expected 4, observed 0
